id;title;description;category;mood
1;Matematika Dasar;Buku pengantar matematika dasar untuk pemula;matematika;netral
2;Aljabar Linear;Pembahasan vektor dan matriks secara sistematis;matematika;fokus
3;Kalkulus Mudah;Konsep limit turunan dan integral;matematika;fokus
4;Statistika Terapan;Statistika untuk analisis data;matematika;netral
5;Fisika Dasar;Konsep fisika klasik untuk mahasiswa;sains;penasaran
6;Fisika Modern;Pembahasan fisika kuantum dan relativitas;sains;penasaran
7;Kimia Dasar;Konsep dasar kimia dan reaksi;sains;netral
8;Biologi Umum;Struktur dan fungsi makhluk hidup;sains;tenang
9;Pengantar Data Science;Dasar analisis data dan machine learning;teknologi;fokus
10;Machine Learning Pemula;Pengenalan machine learning dengan contoh;teknologi;fokus
11;Artificial Intelligence;Konsep dasar kecerdasan buatan;teknologi;penasaran
12;Pemrograman Python;Belajar Python dari nol;teknologi;netral
13;Atomic Habits;Membangun kebiasaan kecil yang berdampak besar;motivasi;sedih
14;Think Positive;Cara berpikir positif dalam hidup;motivasi;sedih
15;The Power of Now;Mengelola emosi dan kesadaran diri;motivasi;tenang
16;Ikigai;Menemukan tujuan hidup;motivasi;tenang
17;Filosofi Teras;Stoikisme untuk kehidupan modern;motivasi;marah
18;Self Healing;Pemulihan mental dan emosi;motivasi;sedih
19;Psikologi Emosi;Memahami emosi manusia;psikologi;penasaran
20;Manajemen Stres;Mengatasi stres dan tekanan hidup;psikologi;stres
21;Mindfulness;Latihan kesadaran diri;psikologi;tenang
22;Komunikasi Efektif;Cara berkomunikasi dengan baik;pengembangan_diri;netral
23;Public Speaking;Teknik berbicara di depan umum;pengembangan_diri;percaya_diri
24;Leadership;Membangun jiwa kepemimpinan;pengembangan_diri;percaya_diri
25;Logika Informatika;Berpikir logis dan algoritmik;informatika;fokus
26;Algoritma dan Struktur Data;Konsep algoritma pemrograman;informatika;fokus
27;Jaringan Komputer;Dasar jaringan dan internet;informatika;netral
28;Keamanan Informasi;Dasar cyber security;informatika;waspada
29;Motivasi Belajar;Meningkatkan semangat belajar;motivasi;bosan
30;Belajar Efektif;Teknik belajar yang efisien;pengembangan_diri;bosan
